detail_id,invoice_id,product_id,quantity,unit_price,total_amount
cc1d9071-0168-437e-af49-eef0581f48b6,8224d179-860a-40b2-9af3-f592e9ac51c7,e1f8a9b9-ec1f-4951-b427-9548401a0977,62,269,16678
af712354-e331-4119-a5ea-036763eea140,8224d179-860a-40b2-9af3-f592e9ac51c7,2b959f72-50bd-40bb-8866-9af791855f2d,4,481,1924
8ce49129-245e-4343-b04a-702ca21a9a7f,8224d179-860a-40b2-9af3-f592e9ac51c7,9c6fa66f-dacc-46b5-8ff5-33325701b853,69,625,43125
a329926b-bd32-4ec5-9e5e-b632c2fe2de6,cbe6ea26-e94f-40f2-b996-2823cc63d6ed,ca2cf83e-ceaa-409d-9932-859e047977d6,9,898,8082
b5484223-b4d1-4fb1-9c4a-0a26581c2f76,cbe6ea26-e94f-40f2-b996-2823cc63d6ed,dbe68dc0-caea-4177-b94a-33c6ba441a7a,86,1000,86000
ac635d6e-1208-4bda-a952-32c45d1e6e04,cbe6ea26-e94f-40f2-b996-2823cc63d6ed,ad9ecb23-4b8c-463a-82f8-afb3c98a2ae9,53,673,35669
c680bbfc-ef14-483b-94c4-e6154e2cd77b,cbe6ea26-e94f-40f2-b996-2823cc63d6ed,f6542ef0-fa58-40a4-8b04-443525808af8,83,485,40255
1e0f4431-5e6e-4499-88a9-93e902b1704e,988c6138-7e66-4784-a59c-745def24c388,2b959f72-50bd-40bb-8866-9af791855f2d,27,528,14256
0822d6f7-f317-4d36-ab80-c7cf7c2be723,988c6138-7e66-4784-a59c-745def24c388,05aa27ae-0e8a-469a-9eaa-ef642a7e7b62,91,934,84994
a16c872b-2b13-4920-ae31-099ae62624f9,988c6138-7e66-4784-a59c-745def24c388,e1f8a9b9-ec1f-4951-b427-9548401a0977,36,661,23796
65c4cd5b-f6fa-4426-afdb-706ef1fa0ead,f16333b4-420a-4226-a4d0-6d98b01b3127,ca326934-521f-4df7-852d-23aebf897ae4,44,359,15796
42d8ea98-ae8e-42a8-ba86-d14ee9c69393,7100c462-99d8-42f4-84af-19a277cc209c,05aa27ae-0e8a-469a-9eaa-ef642a7e7b62,51,829,42279
be6bd292-a5ad-4f96-8ea2-24f6a4851864,f0d43cd2-a866-4d81-b18a-e2329439b32d,05aa27ae-0e8a-469a-9eaa-ef642a7e7b62,54,113,6102
ba2ca2fa-7377-41b0-bb3d-86d28c34d186,f0d43cd2-a866-4d81-b18a-e2329439b32d,ca326934-521f-4df7-852d-23aebf897ae4,51,761,38811
9315c89c-0e36-4f55-a06c-6cd89fce6f23,e176bccd-f994-4c62-a05d-a211aad3de59,6b5b09d6-ebd5-45b1-855d-e8d9149f1ae5,41,913,37433
c9ae1d07-fc51-4154-8938-2ff991ef1524,e176bccd-f994-4c62-a05d-a211aad3de59,f6542ef0-fa58-40a4-8b04-443525808af8,28,162,4536
f6096d5b-2d0b-4ed0-9c27-3b14de4f3f39,e176bccd-f994-4c62-a05d-a211aad3de59,e4e721f7-4967-4ef9-85d8-6281b52c7cd9,10,730,7300
a1affa2f-732b-41c9-8c4f-719449f4e982,e176bccd-f994-4c62-a05d-a211aad3de59,889c5b48-9adf-4b0a-b436-ea72dda94f2d,58,778,45124
920e08db-d7b8-4090-a0db-810e9df323aa,e176bccd-f994-4c62-a05d-a211aad3de59,9ff69c9e-a9f3-4e67-8ce9-c4bc61bf367c,39,299,11661
f791922f-453f-468a-bada-43c0dfb1dc38,4e6c07cc-6aaf-47a9-9bb5-65ef86439e48,ac0200b2-49d0-4920-a09f-aebf7a8982b7,25,352,8800
bf8b8843-f877-43fe-aebf-97171e6d9f25,4e6c07cc-6aaf-47a9-9bb5-65ef86439e48,e4e721f7-4967-4ef9-85d8-6281b52c7cd9,94,889,83566
9c6376b1-c7ab-48ea-be2f-2a3d38259644,b8b21ad5-b321-4517-be4c-8539bf962558,d69f87fa-5ccf-4bcb-8979-a13c45a2d8b5,94,610,57340
16b04378-da11-425e-9f53-32c65afe6153,b8b21ad5-b321-4517-be4c-8539bf962558,dbe68dc0-caea-4177-b94a-33c6ba441a7a,24,129,3096
eaae5e6a-ec8c-4a97-ace0-abf301ebef6c,b8b21ad5-b321-4517-be4c-8539bf962558,ca326934-521f-4df7-852d-23aebf897ae4,45,152,6840
4d636187-8147-4ad9-903b-8e999495e317,b8b21ad5-b321-4517-be4c-8539bf962558,f6542ef0-fa58-40a4-8b04-443525808af8,62,902,55924
5ac3918c-dcc3-40ac-8a94-d5f3f4e83ccc,b8b21ad5-b321-4517-be4c-8539bf962558,ac0200b2-49d0-4920-a09f-aebf7a8982b7,46,230,10580
75ca27f2-09a1-4a59-960a-a25ebfc304e4,c1900eef-9c8e-4f2b-9c25-d4937db9352c,d69f87fa-5ccf-4bcb-8979-a13c45a2d8b5,8,539,4312
17ac48f5-c7c8-41d9-8462-bcc55c2880e7,c1900eef-9c8e-4f2b-9c25-d4937db9352c,05aa27ae-0e8a-469a-9eaa-ef642a7e7b62,80,98,7840
9b5381a2-97eb-463c-ab4d-1cc53c89af7d,39a19a53-c3c3-4bc9-821d-6dc4f0cbd8f6,dbe68dc0-caea-4177-b94a-33c6ba441a7a,91,832,75712
5fe842ec-1af9-4c5d-953e-d01a9f977f9e,39a19a53-c3c3-4bc9-821d-6dc4f0cbd8f6,ca326934-521f-4df7-852d-23aebf897ae4,13,673,8749
9968e39e-56b7-4b43-acfc-b858ba3517e9,39a19a53-c3c3-4bc9-821d-6dc4f0cbd8f6,ad9ecb23-4b8c-463a-82f8-afb3c98a2ae9,94,119,11186
